SCW_ID,SCW_VER,SCW_TYPE,RA_X,DEC_X,OBS_ID,OBS_TYPE,START_DATE,END_DATE,PI_NAME,PS,GOOD_SPI,GOOD_PICSIT,GOOD_ISGRI,GOOD_JEMX,GOOD_JEMX1,GOOD_JEMX2,GOOD_OMC,DSIZE,SEARCH_OFFSET_
248900600010,001,POINTING,259.446594238281,-31.055139541626,19200140028,GENERAL,2022-04-09 22:49:51,2022-04-09 23:23:10,"PROF.
JOERN
WILMS",PRIVATE,1942,1914,1940,1942,1942,1942,0,87478272,"685.618 (251.43011292867345,-22.14479227392564)
"
248900590010,001,POINTING,261.988220214844,-31.0086936950684,19200140028,GENERAL,2022-04-09 22:14:17,2022-04-09 22:47:38,"PROF.
JOERN
WILMS",PRIVATE,1979,1955,1977,1979,1979,1907,0,87937024,"776.222 (251.43011292867345,-22.14479227392564)
"
248900610010,001,POINTING,259.470001220703,-33.2302780151367,19200140028,GENERAL,2022-04-09 23:25:08,2022-04-09 23:58:28,"PROF.
JOERN
WILMS",PRIVATE,1996,1959,1993,1996,1996,1644,0,89354240,"789.781 (251.43011292867345,-22.14479227392564)
"
248900580010,001,POINTING,262.060180664062,-33.1811370849609,19200140028,GENERAL,2022-04-09 21:39:10,2022-04-09 22:12:21,"PROF.
JOERN
WILMS",PRIVATE,1917,1907,1931,1934,1934,1663,0,87490560,"869.248 (251.43011292867345,-22.14479227392564)
"
248900500010,001,POINTING,264.506195068359,-30.910249710083,19200140028,GENERAL,2022-04-09 16:55:36,2022-04-09 17:28:55,"PROF.
JOERN
WILMS",PRIVATE,1944,1923,1942,1944,1944,1590,0,87805952,"875.925 (251.43011292867345,-22.14479227392564)
"
